Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga,Perkantoran,Pasar,Perniagaan,Fasilitas Publik,Kawasan,Lain
2019,D.I. Yogyakarta,Kota Yogyakarta,199.7,2.35,34.75,80.08,41.79,1.18,2.11
2019,Bengkulu,Kab. Bengkulu Tengah,33.89,6.93,10.38,3.46,2.59,0.0,0.0
2019,Sulawesi Selatan,Kab. Maros,6.5,1.17,0.65,0.58,1.38,0.0,2.27
2019,Kalimantan Selatan,Kota Banjarbaru,157.63,0.54,1.5,0.01,4.83,0.5,0.5
2019,Kepulauan Bangka Belitung,Kab. Bangka Selatan,59.0,2.46,5.5,2.87,9.28,6.21,0.36
2019,Sumatera Barat,Kota Payakumbuh,65.09,0.72,17.18,10.38,3.16,0.32,0.53
2019,Kalimantan Barat,Kab. Mempawah,3.83,8.08,26.73,8.38,8.52,11.11,2.57
2019,Gorontalo,Kab. Pohuwato,5.8,1.2,3.2,1.3,1.1,0.7,0.5
2019,Jawa Timur,Kota Blitar,63.8,0.7,2.1,1.4,1.1,0.4,1.4
2019,Jawa Tengah,Kab. Batang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,DKI Jakarta,Kota Adm. Jakarta Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Kediri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Kebumen,37.0,8.0,5.0,3.0,9.0,3.0,4.0
2019,Lampung,Kota Metro,41.0,12.3,20.5,12.3,8.2,5.13,3.08
2019,Sumatera Barat,Kota Sawahlunto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,DKI Jakarta,Kota Adm. Jakarta Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Utara,Kota Bitung,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Sidoarjo,99999.99,4467.3,62542.7,31271.4,8934.7,44673.4,99999.99
2019,Sulawesi Selatan,Kota Palopo,4.0,0.04,7.0,6.0,0.04,8.0,0.0
2019,Kalimantan Barat,Kab. Kapuas Hulu,106.67,0.1,0.05,0.5,3.1,2.3,0.71
2019,Aceh,Kota Langsa,11.4,1.0,16.0,12.0,6.0,2.0,0.0
2019,Kalimantan Tengah,Kab. Barito Utara,32.5,5.2,24.0,2.0,1.5,2.0,1.5
2019,Jawa Barat,Kab. Ciamis,277.99,22.69,93.61,96.44,28.37,25.53,22.69
2019,Maluku Utara,Kota Ternate,37.7,4.7,10.1,7.7,4.4,3.5,4.2
2019,Sulawesi Tengah,Kab. Parigi Moutong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Utara,Kab. Samosir,10.0,1.0,2.0,3.0,1.0,5.0,2.0
2019,Jawa Timur,Kab. Banyuwangi,19511.24,0.02,5.55,0.01,0.01,0.0,0.0
2019,Sulawesi Selatan,Kab. Luwu Timur,44.8,11.2,22.4,11.2,5.6,5.6,16.8
2019,Jawa Timur,Kab. Tuban,150.84,8.7,84.0,76.78,66.47,68.3,3.0
2019,Jawa Tengah,Kab. Pati,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kepulauan Riau,Kota Tanjung Pinang,13.4,4.6,12.0,6.4,7.9,6.8,1.2
2019,Maluku,Kab. Buru Selatan,3.47,0.41,2.5,9.87,1.19,0.0,1.04
2019,Sumatera Selatan,Kab. Ogan Komering Ulu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Utara,Kab. Asahan,364.9,2.68,3.53,77.36,13.14,6.96,151.91
2019,Kalimantan Tengah,Kota Palangkaraya,149.45,88.4,40.0,20.84,1.0,0.0,45.39
2019,Banten,Kab. Lebak,1.32,117.79,7.89,49.46,131.97,129.13,68.12
2019,D.I. Yogyakarta,Kab. Kulon Progo,0.43,0.0,0.23,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Madiun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jambi,Kab. Bungo,6.72,1.53,67.06,1.32,0.98,2.45,65.78
2019,Sumatera Utara,Kab. Langkat,8.0,5.4,5.4,6.0,3.9,1.9,2.8
2019,Sumatera Utara,Kota Tebing Tinggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Pasuruan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Pamekasan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Selatan,Kab. Musi Rawas,256.19,0.1,13.36,1.12,1.17,0.18,11.5
2019,Banten,Kota Cilegon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Bengkulu,Kab. Kepahiang,15.0,1.0,10.0,1.1,1.0,1.0,1.4
2019,Bali,Kab. Buleleng,527.27,1.55,6.78,1.36,1.16,0.58,0.39
2019,Kalimantan Timur,Kota Bontang,79.69,3.67,5.86,0.0,3.58,8.46,0.45
2019,Maluku,Kab. Maluku Tenggara,75.0,5.0,15.0,1.0,1.0,2.0,1.0
2019,Banten,Kab. Pandeglang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Barat,Kota Bogor,262.5,0.3,23.4,1.5,4.4,2.8,212.1
2019,Sulawesi Selatan,Kab. Bantaeng,22.9,0.9,1.7,1.7,0.1,0.0,2.0
2019,Sumatera Barat,Kab. Sijunjung,13.6,8.4,9.6,1.2,1.0,0.6,0.0
2019,Kepulauan Riau,Kab. Natuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Tenggara,Kab. Bombana,0.0,0.1,4.0,0.0,2.0,1.0,1.0
2019,Sulawesi Utara,Kab. Minahasa Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aceh,Kab. Bener Meriah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kota Madiun,85.84,5.16,9.41,4.78,4.61,3.17,2.03
2019,Kalimantan Selatan,Kab. Hulu Sungai Selatan,42.31,0.79,34.08,5.69,4.71,3.6,1.88
2019,Bali,Kab. Jembrana,56.38,2.8,12.4,15.4,7.32,3.1,2.6
2019,Jawa Barat,Kota Tasikmalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Lampung,Kab. Way Kanan,313.59,0.65,5.4,0.42,0.04,0.0,141.35
2019,Sulawesi Selatan,Kab. Barru,43.77,7.29,4.38,2.19,4.38,7.29,3.65
2019,Kalimantan Timur,Kab. Kutai Kartanegara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Nusa Tenggara Barat,Kab. Lombok Timur,25.0,0.15,15.0,3.0,31.42,0.47,20.0
2019,Jawa Tengah,Kab. Sukoharjo,174.54,2.52,15.51,7.94,18.74,141.23,5.37
2019,Kepulauan Bangka Belitung,Kota Pangkal Pinang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Utara,Kota Tarakan,1.75,0.08,4.5,3.69,1.49,0.06,2.0
2019,Kalimantan Barat,Kab. Ketapang,41.0,6.0,20.0,15.0,5.0,8.0,5.0
2019,Jawa Timur,Kota Probolinggo,41.5,0.6,11.5,2.9,1.3,1.5,0.6
2019,D.I. Yogyakarta,Kab. Sleman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Selatan,Kota Banjarmasin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Selatan,Kab. Luwu Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Barat,Kota Bukittinggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aceh,Kab. Aceh Selatan,19.0,1.0,2.1,1.4,8.0,2.2,1.3
2019,Jambi,Kab. Merangin,20.0,5.0,11.0,5.0,4.27,3.0,2.0
2019,Jawa Tengah,Kab. Kendal,0.0,0.04,0.47,0.0,0.03,0.27,0.29
2019,Sulawesi Utara,Kota Kotamobagu,35.2,3.0,10.9,7.2,3.1,0.0,2.4
2019,Sumatera Selatan,Kota Prabumulih,52.76,3.6,19.86,12.44,2.47,0.98,1.31
2019,Bali,Kab. Gianyar,390.9,4.52,15.84,0.0,7.03,48.0,2.03
2019,Jawa Timur,Kab. Blitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Selatan,Kab. Sidenreng Rappang,87.9,4.2,6.8,3.3,8.4,2.1,8.2
2019,Jawa Tengah,Kab. Sragen,124.8,43.6,121.3,23.5,28.3,57.69,3.24
2019,Sulawesi Utara,Kab. Kepulauan Talaud,8.15,2.09,7.37,3.48,2.79,0.6,0.43
2019,Kalimantan Tengah,Kab. Sukamara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Papua,Kab. Biak Numfor,29.0,3.64,9.75,3.08,3.57,6.62,0.0
2019,Jawa Timur,Kab. Probolinggo,15.5,0.9,12.5,4.7,3.0,4.3,2.2
2019,Aceh,Kab. Simeulue,26.37,4.4,5.71,3.52,2.2,0.44,1.32
2019,Jawa Timur,Kab. Sampang,99999.99,10172.8,30518.3,20345.5,6103.7,0.0,14241.9
2019,Sumatera Utara,Kab. Humbang Hasundutan,10.0,0.5,1.0,0.0,1.45,0.0,2.5
2019,Banten,Kota Tangerang,962.05,56.68,46.2,213.2,305.53,0.0,0.0
2019,Sulawesi Selatan,Kab. Bone,186.5,33.3,72.3,28.5,22.2,15.9,11.1
2019,Kalimantan Barat,Kab. Sambas,233.1,0.9,37.6,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Bojonegoro,0.0,0.0,2.47,0.01,0.45,0.0,0.0
2019,Kepulauan Riau,Kota Batam,762.79,154.82,2.27,55.69,4.13,325.82,27.0
2019,Gorontalo,Kab. Gorontalo,4.6,0.4,0.2,0.4,0.8,0.7,0.5
2019,DKI Jakarta,Kota Adm. Jakarta Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jambi,Kota Sungai Penuh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Barat,Kab. Pangandaran,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Lampung,Kota Bandar Lampung,410.1,68.3,102.5,20.5,41.0,13.7,27.3
2019,Sumatera Barat,Kota Solok,29.26,1.27,15.78,0.44,1.28,0.06,1.62
2019,Kalimantan Timur,Kab. Penajam Paser Utara,10.0,2.1,3.1,3.0,2.0,1.0,1.0
2019,Sulawesi Tenggara,Kab. Buton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kota Kediri,40635.23,16254.09,39280.73,8127.05,9481.55,14899.59,6772.54
2019,Sulawesi Barat,Kab. Pasangkayu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jambi,Kab. Muaro Jambi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kota Magelang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Barat,Kab. Sumedang,235.0,5.0,100.0,20.0,20.0,25.0,33.0
2019,Sulawesi Selatan,Kota Parepare,31.8,5.7,16.2,8.8,2.8,6.4,1.6
2019,Jawa Tengah,Kab. Pemalang,172.0,21.0,60.0,48.0,26.0,58.0,5.84
2019,Maluku Utara,Kab. Halmahera Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Selatan,Kab. Lahat,95.1,20.8,95.1,38.6,17.8,17.9,18.1
2019,Kalimantan Selatan,Kab. Kotabaru,0.0,0.0,5.6,0.0,0.0,0.0,0.0
2019,Papua Selatan,Kab. Asmat,22.0,2.0,4.0,5.0,3.0,2.0,1.0
2019,Bengkulu,Kab. Lebong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Barat,Kab. Agam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Bali,Kab. Karangasem,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Wonosobo,99999.99,0.6,26.0,6.8,12.3,0.0,0.0
2019,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152.0,0.0,11.86
2019,Aceh,Kota Sabang,1.06,0.02,0.03,0.03,0.36,0.03,0.32
2019,Kalimantan Tengah,Kab. Barito Timur,5.6,0.0,4.1,0.0,1.2,0.4,0.5
2019,Jawa Timur,Kota Batu,77.29,3.33,2.0,3.69,1.54,17.8,18.6
2019,Kalimantan Selatan,Kab. Hulu Sungai Utara,2.9,0.3,22.6,1.0,5.45,0.01,2.53
2019,Jawa Timur,Kab. Nganjuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Riau,Kab. Siak,17.4,4.5,7.0,2.0,4.3,2.8,1.0
2019,Jawa Timur,Kota Mojokerto,77.5,4.5,7.5,3.9,2.1,4.5,0.0
2019,Sumatera Utara,Kota Pematang Siantar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Papua Barat Daya,Kab. Raja Ampat,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2019,Sumatera Barat,Kab. Dharmasraya,82.13,2.29,0.62,0.0,0.09,0.0,11.2
2019,Jawa Tengah,Kab. Klaten,352.5,2.75,2.04,1.42,2.38,6.39,0.0
2019,Riau,Kab. Kampar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kab. Jepara,50214.44,25107.22,75321.66,32639.39,37660.83,20085.78,10042.89
2019,Sulawesi Tengah,Kab. Donggala,3.0,0.5,2.0,1.5,1.6,1.0,1.0
2019,D.I. Yogyakarta,Kab. Gunungkidul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Lumajang,175.12,0.53,129.6,4.75,142.66,17.45,30.24
2019,Kalimantan Timur,Kota Samarinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Utara,Kab. Minahasa Tenggara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Tengah,Kab. Kapuas,11.45,0.84,4.96,0.0,0.99,0.0,1.75
2019,Papua,Kota Jayapura,162.1,50.33,24.1,9.1,5.0,2.0,0.0
2019,Sulawesi Selatan,Kab. Bulukumba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Timur,Kab. Tulungagung,51.39,0.16,16.82,7.96,4.08,12.81,0.56
2019,Nusa Tenggara Barat,Kab. Lombok Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kepulauan Riau,Kab. Karimun,70.1,5.3,17.5,5.3,28.1,20.1,29.0
2019,Kalimantan Barat,Kota Pontianak,99276.9,444.5,26767.4,11126.46,1083.48,0.0,208.36
2019,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Selatan,Kab. Tapin,59.3,1.89,5.92,2.14,2.65,2.05,1.35
2019,Banten,Kota Tangerang Selatan,904.9,8.6,0.1,32.4,26.7,0.0,0.0
2019,Jawa Timur,Kab. Pacitan,9.5,0.0,15.0,1.1,1.0,1.1,0.6
2019,Jawa Barat,Kota Cimahi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Lampung,Kab. Lampung Barat,6.3,1.8,3.2,1.82,1.3,0.0,0.0
2019,Sulawesi Selatan,Kab. Pangkajene Kepulauan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Timur,Kab. Paser,89.69,2.24,10.09,5.61,2.24,2.24,0.0
2019,Jawa Timur,Kab. Situbondo,23.55,1.02,2.52,15.02,16.2,42.88,16.99
2019,Kalimantan Barat,Kab. Sanggau,226.66,0.26,0.16,8.03,0.0,0.0,0.0
2019,Jawa Timur,Kab. Gresik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jambi,Kab. Batanghari,74.85,1.2,29.0,3.0,2.5,2.0,8.3
2019,Jawa Timur,Kota Malang,0.0,0.0,0.0,0.0,0.7,0.0,0.0
2019,Jawa Barat,Kab. Sukabumi,162.7,149.56,152.84,478.25,146.42,305.69,98.61
2019,Sulawesi Tengah,Kab. Poso,14.1,1.25,3.1,0.71,0.92,0.62,0.3
2019,Sulawesi Selatan,Kab. Sinjai,95.73,0.9,1.0,1.5,3.94,3.0,0.3
2019,Kalimantan Selatan,Kab. Balangan,24.73,5.05,9.26,6.15,2.53,3.78,1.24
2019,Kepulauan Bangka Belitung,Kab. Bangka,79.04,6.37,16.57,8.92,3.82,5.1,7.65
2019,Sumatera Barat,Kota Padang Panjang,34.88,0.36,6.77,1.53,1.72,0.0,0.96
2019,Kepulauan Riau,Kab. Kepulauan Anambas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jambi,Kota Jambi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Utara,Kota Tomohon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Utara,Kab. Deli Serdang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Jawa Tengah,Kota Semarang,361.96,7.5,321.78,15.6,66.03,84.28,332.84
2019,Jawa Barat,Kab. Bekasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sumatera Selatan,Kota Palembang,697.2,5.9,81.4,34.5,107.0,23.1,235.3
2019,Sumatera Barat,Kab. Pesisir Selatan,82.5,14.0,24.7,1.0,13.0,3.0,0.0
2019,Bali,Kab. Badung,0.0,24.28,25.4,558.6,0.0,0.0,0.0
2019,Sulawesi Selatan,Kab. Wajo,26.92,0.75,7.67,1.59,0.3,0.28,18.21
2019,Kalimantan Timur,Kab. Kutai Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Sulawesi Tenggara,Kab. Kolaka,65.0,2.0,13.0,5.0,10.0,1.0,4.0
2019,Riau,Kab. Rokan Hilir,195.0,3.55,89.0,101.6,4.8,20.0,82.5
2019,Sulawesi Utara,Kab. Kepulauan Sangihe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Kalimantan Tengah,Kab. Katingan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Aceh,Kab. Aceh Tengah,14520.0,5000.0,16030.0,11322.0,10230.0,11320.0,29165.0
2019,DKI Jakarta,Kab. Adm. Kep. Seribu,20.7,0.0,0.0,0.0,0.0,0.0,11.6
2019,Gorontalo,Kota Gorontalo,30.0,17.0,10.0,10.0,5.0,2.0,0.0
2020,Sumatera Selatan,Kab. Muara Enim,60.6,25.7,57.9,4.0,0.1,0.1,0.0
2020,Jawa Barat,Kota Sukabumi,168.16,1.6,6.3,2.0,0.61,0.0,0.0
2020,Bali,Kab. Bangli,86.14,1.02,5.94,0.3,4.12,2.38,0.1
2020,Jawa Tengah,Kab. Purworejo,92.96,0.02,0.34,0.02,0.58,0.0,0.0
2020,Nusa Tenggara Timur,Kab. Sumba Tengah,10.0,0.51,7.44,1.54,3.08,0.26,2.82
2020,Jawa Tengah,Kab. Blora,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Sulawesi Utara,Kab. Minahasa Utara,49846.0,6230.0,24923.0,7788.0,4158.0,9346.0,1557.0
2020,Aceh,Kota Banda Aceh,186.16,0.56,9.03,45.18,2.31,0.0,0.05
2020,Jambi,Kab. Tebo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Jawa Timur,Kota Surabaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Kalimantan Selatan,Kab. Hulu Sungai Tengah,12.15,1.8,7.05,2.5,2.75,7.75,1.25
2020,Jawa Timur,Kab. Jombang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Jawa Tengah,Kab. Wonogiri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Kalimantan Barat,Kab. Melawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Jawa Timur,Kota Pasuruan,76.14,0.66,19.69,1.31,16.41,6.56,10.5
2020,Sumatera Selatan,Kab. Musi Banyuasin,145.1,13.0,20.7,25.9,13.0,18.1,23.32
2020,Sumatera Utara,Kota Medan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Banten,Kota Serang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Jawa Barat,Kota Depok,156.2,7.4,104.2,29.8,409.2,22.3,14.9
2020,Jawa Tengah,Kab. Boyolali,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Kepulauan Bangka Belitung,Kab. Bangka Tengah,44.48,2.08,8.53,10.89,10.85,1.38,1.6
2020,Jambi,Kab. Sarolangun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Sulawesi Tengah,Kab. Banggai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Sumatera Barat,Kab. Tanah Datar,88.6,0.28,17.75,1.54,12.27,0.0,0.0
2020,Kalimantan Timur,Kota Balikpapan,336.66,9.02,29.66,42.03,21.9,6.28,19.39
2020,Kepulauan Riau,Kab. Lingga,16.3,0.1,0.7,5.1,3.9,1.2,0.3
2020,Riau,Kota Pekanbaru,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Kalimantan Tengah,Kab. Kotawaringin Barat,12.0,6.0,6.0,7.0,7.0,10.0,5.0
2020,Sulawesi Barat,Kab. Polewali Mandar,110.23,5.46,12.86,8.93,19.88,14.5,7.14
2020,Kalimantan Tengah,Kab. Pulang Pisau,38.1,0.1,2.3,6.5,3.9,0.0,0.0
2020,Papua,Kab. Keerom,15.0,15.0,25.0,15.0,10.0,10.0,10.0
